pantone,name,hex,rgb,skc,family,shade,needs_review
14-1051TPG,Warm Apricot,#FFB762,"255,183,98",2280,2,280,False
16-1142TPG,Golden Nugget,#E19E5A,"225,158,90",2370,2,370,False
16-1342TPG,Buckskin,#D29056,"210,144,86",2410,2,410,False
16-1148TPG,Nugget,#CE8C4E,"206,140,78",2430,2,430,False
16-1149TPG,Desert Sun,#CA7B3D,"202,123,61",2470,2,470,False
17-1046TPG,Golden Oak,#C37A3B,"195,122,59",2480,2,480,False
18-1160TPG,Sudan Brown,#A97241,"169,114,65",8520,8,520,False
18-1050TPG,Honey Ginger,#B36E36,"179,110,54",2520,2,520,False
18-1049TPG,Thai Curry,#AF6F34,"175,111,52",2530,2,530,False
18-1163TPG,Pumpkin Spice,#AA6938,"170,105,56",2540,2,540,False
18-0950TPG,Cathay Spice,#9A6B3F,"154,107,63",8560,8,560,False
13-0945TPG,Pale Marigold,#FFC867,"255,200,103",2250,2,250,False
14-1050TPG,Marigold,#FEAE51,"254,174,81",2300,2,300,False
15-1058TPG,Radiant Yellow,#FAA12F,"250,161,47",2340,2,340,False
15-1147TPG,Butterscotch,#DD974A,"221,151,74",2390,2,390,False
15-1054TPG,Cadmium Yellow,#EE9D32,"238,157,50",2360,2,360,False
16-1140TPG,Yam,#D18D46,"209,141,70",2420,2,420,False
16-1150TPG,Topaz,#D18648,"209,134,72",2440,2,440,False
13-0942TPG,Amber Yellow,#F9B95C,"249,185,92",2280,2,280,False
13-0947TPG,Banana,#FDBE56,"253,190,86",2270,2,270,False
15-0955TPG,Old Gold,#EEB127,"238,177,39",1320,1,320,True
14-0955TPG,Citrus,#FEB236,"254,178,54",2300,2,300,False
15-1062TPG,Gold Fusion,#FFB100,"255,177,0",1300,1,300,True
14-1064TPG,Saffron,#FFAF12,"255,175,18",2300,2,300,False
14-1159TPG,Zinnia,#FFA637,"255,166,55",2320,2,320,False
14-0936TPG,Sahara Sun,#E1C289,"225,194,137",2280,2,280,False
13-1025TPG,Impala,#FDD497,"253,212,151",2220,2,220,False
13-0935TPG,Flax,#FFC97E,"255,201,126",2240,2,240,False
14-1045TPG,Amber,#F0B058,"240,176,88",2310,2,310,False
15-1049TPG,Artisan's Gold,#E8A546,"232,165,70",2350,2,350,False
14-0941TPG,Beeswax,#EFAC51,"239,172,81",2320,2,320,False
